date;employee_title;employee_status;review_title;pros;cons
15/04/2021;Data Specialist;Former Employee, more than 10 years;Good Company;"Amazing collaboration with other gifted employees
";"a lot of changes in the oil and gas industry
Be the first to find this review helpful
Helpful
Share
Repor"
29/09/2021;Procurement performance Manager;Current Employee, more than 10 years;Good Company;#NOM?;"-Easy to 'get lost' in the masses. Type 'A' personalities will enjoy success here. -Promotions are hard to obtain. Ceilings can come quick. Jobs are highly competitive and circumventing internal openings can be complex. Performance ratings too subjective. -Organization is too complex. Often no clear distinctions on job responsibilities between functions/businesses. -Decisions are often by 'committee' and things can take time. -Plenty of 'finger pointing' when things do not go right. -Diversity programs seem to focus on certain groups over others (even to the point where it gets highly political)
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
16/10/2021;Assistant Manager;Current Employee;Good work, Bad communication;"Good solo work flow day to day.
";"Hard to communicate with corporate. and poor ocmmunication on how rewards works
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
05/10/2021;ARC Advisor;Current Employee, more than 10 years;BP;"BP is a global company with international scope. There are opportunities to do many different things. In the last couple of years, the strategy at BP was changed to pursue renewables and move away from Oil. If that is your thing, enjoy.
";"BP tends to send many jobs offshore and that trend will continue. They are also moving to automate many processes. Reducing headcount is a strategy at BP. It can often feel heartless and sterile to see people who have devoted many years in service to the company to be quietly laid off. There are many who see a downward trend at BP in terms of future earnings potential given that they intend to move away from Oil. This is a concern for both investors and employees.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
16/10/2021;Analyst;Former Employee;Good;"Salary lunch people office insurance
";"Work hours, career path, hieracy
Be the first to find this review helpful
Helpful
Share
Repor"
12/10/2021;Human Resources Advisor;Current Employee, more than 3 years;Great HR team;"Flexible, lots of developmental opportunities, and project work.
";"HR leadership i very out of touch with what front line action looks like
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
06/10/2021;Clerk;Former Employee;It was alright;"I had a good manager so I was able to get some pretty flexible hours.
";"Since it was retail, you would sometimes have to deal with some pretty unpleasant people.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
30/09/2021;Principal Geologist, Exploration;Former Employee, more than 8 years;Communication improvement;"Great people, large pool of experience, great technical training opportunities, opportunity to work in different areas within your expertise.
";"Upper management distant, micro-management practices by middle management,
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
08/10/2021;Business Advisor;Former Employee;Great Company;"People are what make this a great company. Work is very challenging and interesting.
";"Constantly reorganizing and matrix organization.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
05/10/2021;Associate;Former Employee, more than 10 years;Large Company Trying to Change;"The management appears to have good intentions about being a better corporate citizen with a great deal of focus on carbon impact and DEI.
";"As with any large entity trying to change, it will take time and the effectiveness of some of the change initiatives has been variable.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
06/10/2021;Settlement Analyst;Former Employee, more than 10 years;Great Company to work for;"Great Company with Great Benefits.
";"Corporate world, constant re-organizing and re-structuring.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
04/10/2021;Business Manager;Current Employee, more than 8 years;Great company to work;"Open culture with competent staff
";"Bureaucracy and time to undertake decision
Be the first to find this review helpful
Helpful
Share
Repor"
01/10/2021;Anonymous;Current Employee, more than 3 years;January 2021 Reorganization;"Work with great, dedicated people.
";"With the reorganization, very hard to move up quickly. Expect to work in each role for many years before moving vertically. Additionally, expect to work very hard and long hours due to reduction in headcount.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
15/09/2021;Anonymous;Former Employee, more than 8 years;Good company;"Nice people, laid back, great benefits
";"Oil price cycles make management to overreact
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
07/09/2021;Facility Engineer;Former Employee;Good;"Good benefit and work environment
";"When I was there there were job security issue due to COVID
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
08/09/2021;Completions Engineer;Current Employee;Strong vision;"Strong collaborative culture and mission.
";"Structure and support sometimes lack for inexperienced hires.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
02/09/2021;Enterprise Architect;Former Employee;great company to work for;"lots of complex problems to solve for meeting energy needs
";"very stressful environment and company always laying off
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
20/08/2021;Senior Tax Advisor;Former Employee, more than 8 years;Indirect Tax Group;"Good Pay and Benefits 9/80
";"Very big company so not much possibility for title growth.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
11/08/2021;Vice President;Former Employee, more than 8 years;The Worst Company I Ever Worked For;"BP has smart people that seem friendly. They are nice, energetic and intelligent. They invest in nice offices and are a global company with opportunities all over the world. The pay is good. You get to work with the latest technology. Strong support of diversity of ethnicity, gender and sexual orientation.
";"BP favors friendliness over delivery and accountability. The management team acts as if they are smarter than everyone else. They are manipulative and do not treat people with respect. A few people do most of the work. Despite friendly appearances, they do not like Americans.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
07/07/2021;Tax Analyst;Former Employee, more than 10 years;More Like Family;"Management was very supportive and helpful. I love my work/life balance while working at bp. The employees (whether in Texas or Illinois) were more like family.
";"We didn't have much time to focus on developing ourselves due to workload. And unfortunately some of the team leads didn't focus on our development either.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
21/08/2021;Engineer;Former Employee;....... ..... ..... .... ...;"Stability Learning Healthy Exposure Agility
";"Internal transfers are not easy
Be the first to find this review helpful
Helpful
Share
Repor"
16/08/2021;Operation Engineer;Current Employee, more than 5 years;Good company overall;"work-life balance, decent benefit, a good place to practice soft skillset
";"quite dynamic and many rounds of lay-off slow pace industry
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
16/09/2021;Project Lead;Current Employee;No;"Good pay and benefits. Training is good.
";"There is too much politics and bureaucracy. Management is not caring.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
09/08/2021;Project Coordinator;Current Employee;Good place to work;"The compensation is good as well as the people.
";"Workload is very high at this point.
1 person found this review helpful
Helpful
Share
Repor"
01/07/2021;Communications Specialist;Former Employee, more than 1 year;Loved every second of working here;"Great culture, benefits, and ample emphasis on work/life balance
";"They were in the middle of a restructuring that resulted in my lay-off, which happens everywhere, but I'm still on the fence about if the restructuring was handled in a way that truly allowed the right people to land in the right roles. The selection process seemed to be largely based on subjective information.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
30/07/2021;Crisis Manager;Current Employee, more than 10 years;Great Compensation;"Salary is at market value or more. Benefits package is top notch For the most part great people.
";"Corporate world. Manager determines your future in many cases. Always changing. Doesn't ever just settle for a bit.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
21/07/2021;Environmental Health and Safety Specialist;Current Employee, more than 3 years;Poor support from top management on key issues and work load;"Great pay and company benefits
";"Work life balance is not where it should be. They keep cutting jobs without decreasing the workload for the people that are left.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
08/01/2021;Category Specialist;Current Employee, more than 3 years;Beware of BP;"The work is interesting and the coworkers are generally friendly. I was always paid on time.
";"You should be aware that BP has an official program that involves paying financial incentives to managers when diversity targets are met for women and/or Black employees. If you are a non-Black male, I strongly urge you to pursue other employers. Before I joined BP, the company had a reputation for two things: catastrophic accidents and layoffs. As a current employee, I think that reputation is well deserved. BP invests heavily in outsourcing technologies and the company retains an army of staff who design workflows and work processes for others. What this means is that your job will constantly change, it will constantly be designed and re-designed by people who lack experience in the roles and do not have endure the consequences of their decisions, and you will always be at risk of being laid off. I doubt you will ever have a feeling of job security, and because of that, your personal relationships and happiness will likely suffer. Believe me when I say that you do not want to work here. You will have a better career and better life elsewhere. The third and final thing that you should be aware of is that BP is excellent at saying no. I have never observed a single instance of BP saying yes to something that was not already explicitly approved in a policy. No matter the situation or circumstance, based on my experience, the answer will always be no. If you are reckless enough to accept a role at BP, you should expect to hear the word often.
Verify your email to continue reading or Resend email
7 people found this review helpful
Helpful
Share
Repor"
20/07/2021;Petrophysicist;Current Employee, more than 3 years;Great Company;"1) Work life balance 2) People 3) Patience 4) Coaching 5) Development
";"1)Promotion rate 2) Salary 3) Job security
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
29/07/2021;Senior Treasury Analyst;Current Employee;BP Rocks;"Nice pay Good Bonus fun Easy Nothing else utilize tech
";"lack of support far N/A old school hard to move up
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
25/08/2021;E&I Technician;Former Employee;Good work until they move on.;"Safe and reliable company. Excellent benefits.
";"The asset I worked on was sold. So I moved to a new state to continue to work for BP. Then they sold that asset.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
17/07/2021;Front End Cashier;Former Employee;New Ownership Makes a Positive Difference;"New Ownership, Wages, Flexibility, Location, Busy
";"Some shifts can be boring
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
