date;employee_title;employee_status;review_title;pros;cons
2021-05-18;IT Analyst;Current Employee, more than 1 year;Great Company Overall;"Great work environment Great benefits Pretty good work/life balance
";"I have not experienced anything negative so far
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-04;R&D Manager;Former Employee;working on energy R&D;"Outstanding colleagues, working on high impact problems
";"Difficult industry business environment currently.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-16;Chemical Technician;Current Employee, more than 3 years;Flexibility;"The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.
";"No downside. PERIOD. Such a great place to join.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Anonymous;Current Employee, more than 10 years;I can only be thankful;"I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.
";"It is hard times right now. But for me, it's worth it.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Engineer;Former Employee;Decent company to work for;"Competitive pay, structured benefits, and job satisfaction
";"Even if you worked your tail off the whole year, you must endure the strange evaluation system at the end of it.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Process Technician;Current Employee, more than 1 year;New PT;"Pension, health insurance benefits, rotating 4 on 4 off schedule
";"Very old refinery, a lot of older senior employees seem to be very unhappy.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Systems Administrator;Current Employee;n;"Benefits, Salary, people, environment, campus
";"I have no cons ok
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Environmental Advisor;Current Employee;n/a;"overall a good place to work
";"reorganization frequently causing a lot of confusion
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Business Development Manager;Current Employee, more than 10 years;Great Experience;"People, Assignment opportunities, Benefits, Salary
";"Short sighted, Clicky, lack of transparency
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Lead Engineer;Current Employee;Lead Engineer;"Great place to work depending on career path and group placed in the company; Competitive benefits
";"Performance politics and ranking nuances can sometimes deter innovation; expect long and sometimes unreasonable hours
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-03;Sales Analyst;Former Employee;Great;"Awesome company to work for
";"Nothing is really a con
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-17;Business Development Manager;Current Employee;EM can return;"Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around
";"Strategy is backward vs forward looking Employees have become disposable parts
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-17;Cost Engineer;Former Employee;Terrible Culture;"Salary and a nice campus.
";"Toxic culture. Employees are forced rank into buckets which creates a “Hunger Games” culture.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-02;Mechanical Engineer;Former Employee, more than 3 years;Good company;"Great environment. Work culture. Good colleagues
";"Nothing much to write here
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Geoscientist;Current Employee, more than 8 years;No longer a place for career longevity and stability;"- Base salary is good. - Can have plenty of time for studying and self-improvement.
";"- Toxic culture due to forced ranking every year. It is literally a hunger game now. - There is no place for technical specialists in the future.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-16;Advanced Associate;Current Employee, more than 10 years;Toxic For Now;"Had some stability, consistency and fun in the past. I hope we're on the verge of throwing out the current Sr. management. Exciting to be part of the resistance within a collapsing empire.
";"Management is useless and/or terrified and/or sociopathic by design.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Associate Geologist;Former Employee, more than 10 years;"Good when it was good; frustrating always";"Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.
";"Subjective performance evaluation system. Incestuous promotion process. Lack of ownership of one’s career. Lack of integrity by leader ship surrounding career growth opportunities and plans. Lack of continuity amongst leader ship and everything from business decisions to employee development. Generally a sense of self satisfactory and self congratulatory behavior within the company. Arrogance and pride abound. If you don’t get promoted before you turn 40, there is no hope. If you don’t get promoted before you have children there is little help - still some hoe just not much.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Advisor;Current Employee;Excellent;"Great place to work with good benefits
";"Large corporation and many levels of management
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Electrical Engineer;Current Employee;Terrible company to work;"You learn a lot in a short period of time You meet good people who are good at what they do
";"Culture is terrible alarmist everyone complains about working here No transparency with decision Unfair adavantage if you are a minority trying to climb to the top (blonde hair, blue eyes) You are just a number You will be overworked and under compensated Don’t work here.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-13;Senior (FP&A) Analyst;Current Employee, more than 3 years;Senior (FP&A) Analyst;"Compensation, benefits package, and workplace flexibility
";"Lack of transparency with career development, opportunities
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Mechanical Engineer;Current Employee, more than 8 years;Very competitive to hold a job;"Great benefits and pay. Great parental time off and consideration for sick leave
";"Very competitive to remain working for this company. Yearly performance reviews are not very thorough and many times show personal emotions from supervisors instead of real objective results accomplished by the employers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Facilities Engineer;Former Employee, more than 1 year;Employees are Good, Management Could be Better;"A lot of the people you work with are delightful, willing to teach, and genuinely want to be productive helpful employees. A lot of employees are willing to mentor and the career opportunities at the corporation are fantastic. Pay was great, benefits too. Best I've seen in the energy industry.
";"Forced ranking system is archaic and disincentives team work. Insecure employees end up working for themselves rather than the good of the corporation and turn to political games that help nobody except make themselves look good at the expense of productivity for the company Some employees and their managers in field offices are glaringly inappropriate. Good ole boy mentality outside Houston. Employees are highly commoditized and WFH is not accomodated
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-13;Business Controls Advisor;Current Employee, more than 10 years;Good company in need of new thinking;"Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.
";"Management too imperial, not collaborative. Promotion based on company politics rather than ability. Slow to change, very process oriented.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Project Lead;Former Employee, more than 10 years;Used to be a great place;"You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).
";"Projects organization has lost its rudder and has not been able to effectively put the new reorganization plans into place. Ranking & Rating system is opaque and arbitrary. Performance feedback it typically contradictory and useless. Supervisors don't give your career and interests much consideration. Workplace becoming increasingly toxic.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Business Development;Current Employee, more than 3 years;Struggling with change;"Huge resources, meritocracy, very intriguin intelligent and capable people
";"Resists changes, very short to adapt
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-18;Anonymous;Current Employee, more than 10 years;Should I work for ExxonMobil;"Career development process based on internal promotion Global leader in BtoB with strong company values and culture Long term need for Energy and opportunities for transformation Competitiveness through internal integration and technology International and diverse activities Changing staff demographics
";"Current industry turmoil resulting in projects freeze and staff reduction Negative public image and uncertainties about energy transition Changing staff demographics Salary and Benefits
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-10-08;First Line Supervisor;Former Employee;Thankful;"Benefits is the best thing about company.
";"Upper management is the problem.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;IT Specialist;Current Employee, more than 8 years;Great company;"Paid well Competitive environment New opportunities (job rotation every 2-3 years) Values training and providing resources for personal/job growth
";"Due to market, reduced project opportunities and ""Do more with less"" Top down military style management at the higher levels. Lower has decision spaces and empowerment but that is not consistent at the higher management tiers. Pay may drop down to average if raises stop
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-07;Assistant Store Manager;Current Employee, more than 3 years;Good Work;"Good work. Gas is always in the pump
";"Need better candy selection on the shelves
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Chemical Engineer;Current Employee;Large Bureaucratic Company;"Solid pay, don't need to do much
";"Play a lot of telephone between people
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Planning Engineer;Current Employee;Fast Paced;"Fast paced dynamic innovative company
";"Massive corporation , global policies do not always apply for bespoke environments
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Project Manager;Current Employee, more than 10 years;Great colleagues, awful senior management;"- Work with some of the best and brightest people - Challenging projects, great stretch opportunities - Good pay for well performing individuals
";"- Sr. Management does not care about workforce - Often see Sr. Management making poor business decisions - ""Be happy you have a job"" philosophy pushed onto employees
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-17;Advisor;Current Employee;Been a great place to work;"Good pay and benefits, stable employer with few layoffs, great colleagues
";"Slow decision making, need to adjust to new realities
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Member Of Technical Staff;Current Employee, more than 8 years;Lack of vision and a toxic culture.;"Technology leader. Fundamental research. History of innovation.
";"Toxic culture. Lack of vision.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-14;Gas Station Attendant;Current Employee, more than 3 years;Clerk;"very relaxing, not much to do
";"Dealing with entitled people at a gas station, it’s basically $5 and below
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Business Controls Advisor;Current Employee;Stable company with good pay and benefits;"Decent pay, good benefits, good retirement, high quality people within the company
";"Forced annual rankings, jobs are picked for you, difficult to implement changes
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Intern;Former Employee;good company;"everyone was very friendly and nice
";"there was a lot of pressure
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-25;First Line Supervisor;Former Employee, more than 5 years;Good company for a stable career;"Very competitive Benefits package. Working environment is not bad
";"Not a lot of Opportunities to move across departments. Poor career management plan especially if you don’t have a mentor fighting for your interest. Not enough diversity in culture and management Very slow to innovate.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-28;Marketing Manager;Current Employee;Good opportunities, competitive culture;"Breadth of opportunities, challenging roles, Pension
";"Political, analysis paralysis, inward focused
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-25;Cashier;Former Employee;Not bad to work for;"Easy work and flexible hours
";"No raises so customers are irate
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-26;Engineer;Current Employee;Okay but could be better;"Salary and benefits. Travel during good times.
";"Nepotism. Bias. Elitist. Glass ceilings for all but a few select few.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-11;Vendor Systems Managed Specialist;Former Employee;Amazing Campus with not so amazing staff;"So many options available to you such as places to eat, coffee, pharmacy, dentist, eye care, and more Work flexibility Pay Time off Insurance Pension
";"A lot of the the people are entitled and are not willing to help others grow and learn in fear of someone else besides themselves moving up. The people who are close to retirement are no longer really working but mainly just keeping there chair warm until they can retire. The training is minimal if any at all
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-03;Supervisor;Former Employee, more than 8 years;Not the company it used to be;"Excellent benefits and work colleagues. Challenging assignments and opportunities to grow.
";"Poor morale and heavy workloads leave employees feeling under valued. Opportunities to live and work abroad are now non-existent.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-09-07;Lab Technician;Current Employee;Why Exxon;"Best career choice for me
";"Not working enough getting the job done
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Engineer;Current Employee;Mixed Feelings;"Great Pay, Great hardworking people.
";"They are finding themselves with regards to onsite engineering support. They have an ambiguous goal to push more support overseas however this has just caused a lot of confusion for the future and has hindered potential career paths if desiring to change roles and progress to different jobs while staying at ExxonMobil.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Senior Research Engineer;Current Employee;Don't come;"nothing, benefit maybe? flexible somewhat
";"too many layers, too many people only politicians
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-06;Instrument Technician;Current Employee;No;"Good not great middle management
";"Bad not to bad so not like hell or anything
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Senior Developer;Current Employee;Review;"Close to home Near a chipotle
";"No career path Poor review methodology
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Anonymous;Current Employee, more than 8 years;Broken;"Some amazing colleagues. Decent pace in getting new assignments. Not too much micro-management and good level of responsibility/influence for individual contributors.
";"More and more, the wrong people are become supervisors without adequate skills and training. Management will defend them to no end while constantly criticizing individual contributors. The amount of rework on small things is outrageous meanwhile critical tasks aren't getting completed due to poor work prioritization from the supervisor. New performance assessments are more of a popularity and personality contest as supervisors fail to understand and give proper credit for real work by employees. People will tell outright lies to try and get their way or put others down. Employee concerns are not properly addressed as the organization only cares about what's coming from the top-down. The individuals who do care aren't are in a position to bring change. Work life balance and flex policies are a joke for most jobs. My coworkers are stressed, frustrated, and running out of patience. Despite all this, management continues to paint things as a pretty picture and will repeatedly talk about culture and ""one team"" and how we should be so excited to be a part of this work. There are way too many managers and too many p***ing contests that results in lack of clarity and constant change in direction for individual contributors. Leadership team is nearly all male and white. Contributions by and perspective from people of color are diminished whereas others are recognized for doing base business job functions.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-10-10;Software Engineer;Current Employee, more than 3 years;Culture is depressing;"Work life balance is good.
";"Pay is low, tech stack is behind the times, not a lot of opportunities for technical people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Senior Geoscientist;Former Employee;terrible morale;"large company with lots to do
";"forced ranking system causes competition between coworkers rather than collaboration. New hires should not expect support from their assigned technical mentor. They don't advertise it, but they PIP 20% of 0-5 year employees during down times, meaning their layoffs disproportionately target the new employees. Management has their head in the sand and refuses to acknowledge problems with the system or the energy transition
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-18;Technology Services Professional;Current Employee, more than 8 years;Lip Service;"Employees are intelligent, genuine people.
";"Leadership claims to seek culture change but a lot of talk and no action
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
