;Id;text;G_naive;G
0;0;Great work environment Great benefits Pretty good work/life balance. ;0;0.0
1;1;Outstanding colleagues, working on high impact problems. ;0;0.0
2;2;The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.. ;0;0.0
3;3;I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.. ;0;0.0
5;5;Pension, health insurance benefits, rotating 4 on 4 off schedule. ;0;0.0
6;6;Benefits, Salary, people, environment, campus. ;0;0.0
7;7;overall a good place to work. ;0;0.0
8;8;People, Assignment opportunities, Benefits, Salary. ;0;0.0
10;10;Awesome company to work for. ;0;0.0
11;11;Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around. ;0;0.0
12;12;Salary and a nice campus.. ;0;0.0
13;13;Great environment. Work culture. Good colleagues. ;0;0.0
14;14;- Base salary is good. - Can have plenty of time for studying and self-improvement.. ;0;0.0
16;16;Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.. ;0;0.0
17;17;Great place to work with good benefits. ;0;0.0
18;18;You learn a lot in a short period of time You meet good people who are good at what they do. ;0;0.0
19;19;Compensation, benefits package, and workplace flexibility. ;0;0.0
22;22;Work with quality people, lots of opportunity for job and location moves. Good safety and controls culture. Retirement benefits.. ;0;0.0
23;23;You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).. ;0;0.0
24;24;Huge resources, meritocracy, very intriguin intelligent and capable people. ;0;0.0
26;26;Benefits is the best thing about company.. ;0;0.0
28;28;Good work. Gas is always in the pump. ;0;0.0
30;30;Fast paced dynamic innovative company. ;0;0.0
33;33;Technology leader. Fundamental research. History of innovation.. ;0;0.0
34;34;very relaxing, not much to do. ;0;0.0
36;36;everyone was very friendly and nice. ;0;0.0
38;38;Breadth of opportunities, challenging roles, Pension. ;0;0.0
39;39;Easy work and flexible hours. ;0;0.0
40;40;Salary and benefits. Travel during good times.. ;0;0.0
42;42;Excellent benefits and work colleagues. Challenging assignments and opportunities to grow.. ;0;0.0
43;43;Best career choice for me. ;0;0.0
45;45;nothing, benefit maybe? flexible somewhat. ;0;0.0
47;47;Close to home Near a chipotle. ;0;0.0
49;49;Work life balance is good.. ;0;0.0
50;50;large company with lots to do. ;0;0.0
51;51;Employees are intelligent, genuine people.. ;0;0.0
52;52;Great salary, great compensation and opportunities to learn. ;0;0.0
53;53;good money, plenty of hours. ;0;0.0
56;56;"Broad set of opportunities; high level coworkers; high impact projects. ";0;0.0
57;57;Company with good benefits to offer.. ;0;0.0
58;58;- Great benefits for families - Good overall compensation package - Many opportunities for learning. ;0;0.0
59;59;Good company to work at.. ;0;0.0
60;60;Quick learning environment, friendly coworkers. ;0;0.0
61;61;Salary, benefits, smart people, good colleagues. ;0;0.0
62;62;abundance of high-end legal work. ;0;0.0
63;63;Large and exciting projects to execute across the globe.. ;0;0.0
64;64;Ability to meet a diverse range of people.. ;0;0.0
65;65;Good benefits, still offer a pension.. ;0;0.0
66;66;There is a whole lot to learn .. ;0;0.0
67;67;salary is not bad at all. ;0;0.0
68;68;Size, salary and benefits, opportunities, safety culture. ;0;0.0
70;70;Opportunities for growth and many learning opportunities Great people Networking Flexibility. ;0;0.0
71;71;The benefits are great !. ;0;0.0
73;73;Good work life balance Lots of long-term benefits. ;0;0.0
74;74;Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension. ;0;0.0
75;75;Great career options for engineers. ;0;0.0
76;76;Nice infrastructure with decent technology equipment. ;0;0.0
77;77;Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn. ;0;0.0
78;78;Challenging work, international opportunities, high reward. ;0;0.0
79;79;Very few pros. Used to be a great company to work for. Culture has decayed.. ;0;0.0
80;80;Benefits, Training for young people, Diversity of people, Diversity of jobs. ;0;0.0
81;81;- Some peers make this place bearable through trauma bonding - The campus is beautiful and you can take froyo breaks - If you are lucky enough to be at one of the Houston sites, you do not have state income tax - You get to learn if you like oil, gas, & chemicals or not. ;0;0.0
82;82;Good place for experience. Lots of good co-workers. Very diverse and woke culture. Benefits are not excellent like they used to be but are still ok. Good place to be from. Looks great on a resume.. ;0;0.0
84;84;Salary tied to industry average. ;0;0.0
85;85;Sakarya and benefits are very good. Challenging projects to work. Overall, good people to work with in the project teams.. ;0;0.0
86;86;Good Salary, some friendly people, lots of opportunities for growth. ;0;0.0
87;87;Above average compensation package Strong analytical and driven culture Work place flexibility in some functions are good.. ;0;0.0
89;89;Great people, interesting work projects.. ;0;0.0
92;92;Nice Campus to work at and very secure. ;0;0.0
93;93;Insurance was good and affordable.. ;0;0.0
94;94;Most colleagues are great people.. ;0;0.0
95;95;Great. Like the people. Like the benefits, Like the salary. I would recommend this to others. They move you around in your career quickly. ;0;0.0
96;96;Great company to work for,. ;0;0.0
97;97;Great campus, gym is amazing! Located in Houston which is a fun city with a low cost of living.. ;0;0.0
98;98;Good people, most supervisors care about you and your career. Excellent projects coming up in deepwater.. ;0;0.0
99;99;Salary treatment Talented / hard working individuals Retirement package Nice work environment (physical) in Spring, Tx. ;0;0.0
100;100;Health insurance is great, but all other benefits are lacking.. ;0;0.0
104;104;None since they removed the premium and cost of living is high. ;0;0.0
106;106;Good company to work with very good coworkers, great team. Work life balance is good. Great campus to explore and to be in. The gym was great and I really enjoyed the classes over there. Work environment was nice and friendly. ;0;0.0
107;107;"Beautiful Office Campus Highly unlikely you will be fired Good salary to work effort ratio (low stress) Work assignments can range from fascinating to mind numbing Good lower to mid-level employee racial and gender diversity; will work its way to the top over time. ";0;0.0
108;108;Pension is still available and PTO is great. I like company but some people do not, company is great can’t complain. ;0;0.0
109;109;Operate in great multinational locations known for providing opportunities for challenging & financially rewarding career. ;0;0.0
110;110;The backbone of being a reputable corporation. ;0;0.0
111;111;good company to work for. ;0;0.0
112;112;None that I can think of. ;0;0.0
113;113;Focused on employee development, great compensation. ;0;0.0
114;114;-Great starting salary -Great people to learn from. ;0;0.0
116;116;Easy and short 6 hour shifts. ;0;0.0
118;118;They have a good pension plan, good 401k plan and medical plans. Some of the best in the industry.. ;0;0.0
119;119;Money is good, especially for the location. Looks good on the resume, and the engineers you work with are all smart people.. ;0;0.0
121;121;"It is definitely a global community to learn and grow. It is a recognized brand and strong organization. Good salaries and benefits program; wonderful facilities.. ";0;0.0
124;124;easy job easy job easy job easy job easy job easy job easy job easy job. ;0;0.0
128;128;plenty of overtime, paid vacation, medical.. ;0;0.0
