;Id;text;S_naive;S
1;1;Outstanding colleagues, working on high impact problems. ;0;0.0
2;2;The flexibility and the nature of working there is more like a family environment. I love it how we all look out for each other.. ;0;0.0
3;3;I am achieving my dreams in partnership with the company. Very thankful. It is hard work, but when wasn't it supposed to be that way if you pursue your dreams.. ;0;0.0
4;4;Competitive pay, structured benefits, and job satisfaction. ;0;0.0
6;6;Benefits, Salary, people, environment, campus. ;0;0.0
7;7;overall a good place to work. ;0;0.0
10;10;Awesome company to work for. ;0;0.0
11;11;Work with best and brightest Challenging and fun assignments Reasonable compensation and benefits People can turn company around. ;0;0.0
12;12;Salary and a nice campus.. ;0;0.0
13;13;Great environment. Work culture. Good colleagues. ;0;0.0
14;14;- Base salary is good. - Can have plenty of time for studying and self-improvement.. ;0;0.0
15;15;Had some stability, consistency and fun in the past. I hope we're on the verge of throwing out the current Sr. management. Exciting to be part of the resistance within a collapsing empire.. ;0;0.0
16;16;Excellent training prior to 2020. Very smart colleagues. Excellent compensation. Flexible work day. Amazing data and challenging projects.. ;0;0.0
17;17;Great place to work with good benefits. ;0;0.0
18;18;You learn a lot in a short period of time You meet good people who are good at what they do. ;0;0.0
19;19;Compensation, benefits package, and workplace flexibility. ;0;0.0
20;20;Great benefits and pay. Great parental time off and consideration for sick leave. ;0;0.0
23;23;You get to work with some very smart people and you learn a great deal. Benefits are (were) quite good (in pre-COVID times).. ;0;0.0
26;26;Benefits is the best thing about company.. ;0;0.0
28;28;Good work. Gas is always in the pump. ;0;0.0
29;29;Solid pay, don't need to do much. ;0;0.0
30;30;Fast paced dynamic innovative company. ;0;0.0
32;32;Good pay and benefits, stable employer with few layoffs, great colleagues. ;0;0.0
33;33;Technology leader. Fundamental research. History of innovation.. ;0;0.0
34;34;very relaxing, not much to do. ;0;0.0
36;36;everyone was very friendly and nice. ;0;0.0
37;37;Very competitive Benefits package. Working environment is not bad. ;0;0.0
39;39;Easy work and flexible hours. ;0;0.0
40;40;Salary and benefits. Travel during good times.. ;0;0.0
44;44;Great Pay, Great hardworking people.. ;0;0.0
45;45;nothing, benefit maybe? flexible somewhat. ;0;0.0
46;46;Good not great middle management. ;0;0.0
47;47;Close to home Near a chipotle. ;0;0.0
50;50;large company with lots to do. ;0;0.0
51;51;Employees are intelligent, genuine people.. ;0;0.0
53;53;good money, plenty of hours. ;0;0.0
55;55;Good pay, good benefits and some flexibility. ;0;0.0
57;57;Company with good benefits to offer.. ;0;0.0
59;59;Good company to work at.. ;0;0.0
60;60;Quick learning environment, friendly coworkers. ;0;0.0
61;61;Salary, benefits, smart people, good colleagues. ;0;0.0
62;62;abundance of high-end legal work. ;0;0.0
63;63;Large and exciting projects to execute across the globe.. ;0;0.0
64;64;Ability to meet a diverse range of people.. ;0;0.0
65;65;Good benefits, still offer a pension.. ;0;0.0
66;66;There is a whole lot to learn .. ;0;0.0
67;67;salary is not bad at all. ;0;0.0
69;69;Great pay, great benefits, great coworkers, and pension. ;0;0.0
71;71;The benefits are great !. ;0;0.0
76;76;Nice infrastructure with decent technology equipment. ;0;0.0
77;77;Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn. ;0;0.0
79;79;Very few pros. Used to be a great company to work for. Culture has decayed.. ;0;0.0
80;80;Benefits, Training for young people, Diversity of people, Diversity of jobs. ;0;0.0
81;81;- Some peers make this place bearable through trauma bonding - The campus is beautiful and you can take froyo breaks - If you are lucky enough to be at one of the Houston sites, you do not have state income tax - You get to learn if you like oil, gas, & chemicals or not. ;0;0.0
82;82;Good place for experience. Lots of good co-workers. Very diverse and woke culture. Benefits are not excellent like they used to be but are still ok. Good place to be from. Looks great on a resume.. ;0;0.0
83;83;"-good benefits for new parents (8 weeks paid for all parents, additional 6 for moms; allow up to 2 years leave and 2 years part-time work) -fairly flexible - policies support remote work, flexing time to meet personal needs during the week - but not always supported in practice. ";0;0.0
84;84;Salary tied to industry average. ;0;0.0
85;85;Sakarya and benefits are very good. Challenging projects to work. Overall, good people to work with in the project teams.. ;0;0.0
87;87;Above average compensation package Strong analytical and driven culture Work place flexibility in some functions are good.. ;0;0.0
89;89;Great people, interesting work projects.. ;0;0.0
90;90;Great pay and benefits. 401k and pension.. ;0;0.0
91;91;pay is good, work is interesting. ;0;0.0
92;92;Nice Campus to work at and very secure. ;0;0.0
94;94;Most colleagues are great people.. ;0;0.0
96;96;Great company to work for,. ;0;0.0
97;97;Great campus, gym is amazing! Located in Houston which is a fun city with a low cost of living.. ;0;0.0
99;99;Salary treatment Talented / hard working individuals Retirement package Nice work environment (physical) in Spring, Tx. ;0;0.0
